"Interval start","Client 1","Client 2","TCP","QUIC-Wave","ALL TCP"
0,38840,3.09415e+06,0,3.29438e+06,0
1,2.39519e+07,2.56331e+07,0,5.11718e+07,0
2,3.41763e+07,1.56004e+07,0,5.13966e+07,0
3,3.25214e+07,1.7278e+07,0,5.13858e+07,0
4,3.31286e+07,1.68339e+07,0,5.156e+07,0
5,3.08713e+07,1.91635e+07,0,5.16499e+07,0
6,3.2883e+07,1.69315e+07,0,5.14219e+07,0
7,2.9083e+07,2.09253e+07,0,5.16405e+07,0
8,2.87293e+07,2.12953e+07,0,5.16598e+07,0
9,2.95543e+07,2.02135e+07,0,5.13881e+07,0
10,2.9676e+07,2.03483e+07,0,5.16612e+07,0
11,3.18187e+07,1.81352e+07,0,5.16025e+07,0
12,2.78935e+07,2.22205e+07,0,5.17682e+07,0
13,2.89664e+07,2.09744e+07,0,5.159e+07,0
14,2.86143e+07,2.12174e+07,0,5.14702e+07,0
15,2.8252e+07,2.17272e+07,0,5.162e+07,0
16,3.0146e+07,2.00201e+07,0,5.18107e+07,0
17,2.86108e+07,2.12637e+07,0,5.15245e+07,0
18,2.85938e+07,2.13951e+07,0,5.1629e+07,0
19,2.92038e+07,2.0894e+07,0,5.17471e+07,0
20,2.81456e+07,2.17785e+07,0,5.15778e+07,0
21,3.07513e+07,1.9017e+07,0,5.14161e+07,0
22,2.96799e+07,2.04144e+07,0,5.17506e+07,0
23,2.90869e+07,2.10288e+07,0,5.17777e+07,0
24,2.84888e+07,2.15208e+07,0,5.16571e+07,0
25,2.81293e+07,2.18127e+07,0,5.16076e+07,0
26,2.55162e+07,2.46516e+07,0,5.18086e+07,0
27,3.14587e+07,1.84167e+07,0,5.15146e+07,0
28,2.83759e+07,2.13818e+07,0,5.13979e+07,0
29,2.95597e+07,2.04463e+07,0,5.16554e+07,0
30,2.84867e+07,2.15424e+07,0,5.16599e+07,0
31,2.93212e+07,2.06105e+07,0,5.15779e+07,0
32,3.14668e+07,1.84441e+07,0,5.15468e+07,0
33,2.91658e+07,2.09754e+07,0,5.17997e+07,0
34,2.79316e+07,2.19792e+07,0,5.15488e+07,0
35,2.90856e+07,2.0962e+07,0,5.17095e+07,0
36,2.87246e+07,2.12212e+07,0,5.16005e+07,0
37,2.4439e+07,2.57244e+07,0,5.18132e+07,0
38,2.22933e+07,2.75389e+07,0,5.14794e+07,0
39,3.05099e+07,1.95236e+07,0,5.16672e+07,0
40,2.80142e+07,2.19881e+07,0,5.16509e+07,0
41,2.84919e+07,2.15223e+07,0,5.16594e+07,0
42,2.84919e+07,2.13639e+07,0,5.15115e+07,0
43,2.96777e+07,2.03938e+07,0,5.173e+07,0
44,3.22975e+07,1.77203e+07,0,5.16696e+07,0
45,2.76612e+07,2.22913e+07,0,5.15947e+07,0
46,2.8844e+07,2.11923e+07,0,5.16864e+07,0
47,2.93203e+07,2.05496e+07,0,5.15287e+07,0
48,2.81322e+07,2.17778e+07,0,5.15572e+07,0
49,2.7527e+07,2.23427e+07,0,5.15074e+07,0
50,2.87268e+07,2.14345e+07,0,5.18074e+07,0
51,2.82534e+07,2.17215e+07,0,5.16228e+07,0
52,2.84853e+07,2.14538e+07,0,5.15892e+07,0
53,2.74183e+07,2.26628e+07,0,5.17262e+07,0
54,3.03975e+07,1.96974e+07,0,5.17444e+07,0
55,2.80156e+07,2.18245e+07,0,5.1481e+07,0
56,2.78959e+07,2.20141e+07,0,5.15602e+07,0
